FILENAME|title|author/name|published|id|updated|link[@type='application/pdf']/@href|link[@type='application/epub+zip']/@href|Number of subjects|Language|
archive_dot_org_books.xml|What to draw and how to draw it|Lutz, Edwin George, b. 1868|1913-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:whattodrawhowtod00lutz|2007-07-02T13:02:06Z|https://bookserver.archive.org/acquire/whattodrawhowtod00lutz.pdf|https://bookserver.archive.org/acquire/whattodrawhowtod00lutz.epub|1|en|
archive_dot_org_books.xml|Spanish-English and English-Spanish commercial dictionary of the words and terms used in commercial correspondence which are not given in the dictionaries in ordinary use; compound phrases, idiomatic and technical expressions, etc|Macdonald, George Robert|1918-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:spanishenglishen00macduoft|2009-08-21T11:50:11Z|https://bookserver.archive.org/acquire/spanishenglishen00macduoft.pdf|https://bookserver.archive.org/acquire/spanishenglishen00macduoft.epub|2|es en|
archive_dot_org_books.xml|Die Erotik in der Photographie [electronic resource] : die geschichtliche Entwicklung der Aktphotographie und des erotischen Lichtbildes und seine Beziehungen zur Psychopathia sexualis|Wulffen, Erich, 1862-1936|1931-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:b2044204x|2014-03-06T12:13:32Z|https://bookserver.archive.org/acquire/b2044204x.pdf|https://bookserver.archive.org/acquire/b2044204x.epub|2|de|
archive_dot_org_books.xml|Romanized school dictionary, English and Urdu|Calcutta School-Book Society|1864-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:romanizedschool00socigoog|2010-01-03T17:30:29Z|https://bookserver.archive.org/acquire/romanizedschool00socigoog.pdf|https://bookserver.archive.org/acquire/romanizedschool00socigoog.epub|1|en|
archive_dot_org_books.xml|The "Keystone" jacket and dress cutter. A treatise on jackets, dresses and other garments for women|Hecklinger, Charles. [from old catalog]|1895-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:keystonejacketdr00heck|2009-08-06T11:45:14Z|https://bookserver.archive.org/acquire/keystonejacketdr00heck.pdf|https://bookserver.archive.org/acquire/keystonejacketdr00heck.epub|1|en|
archive_dot_org_books.xml|Dogs of all nations|Mason, Walter Esplin, 1867-|1915-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:dogsofallnations00masorich|2006-12-11T14:06:38Z|https://bookserver.archive.org/acquire/dogsofallnations00masorich.pdf|https://bookserver.archive.org/acquire/dogsofallnations00masorich.epub|1|en|
archive_dot_org_books.xml|Heidi : a story for girls|Spyri, Johanna, 1827-1901 Melcon, H. A|1901-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:cu31924012618546|2009-10-31T15:16:25Z|https://bookserver.archive.org/acquire/cu31924012618546.pdf|https://bookserver.archive.org/acquire/cu31924012618546.epub|0|en|
archive_dot_org_books.xml|Drawing made easy : a helpful book for young artists; the way to begin and finish your sketches, clearly shown step by step|Lutz, Edwin George, b. 1868|1921-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:drawingmadeeasyh00lutz|2009-02-13T14:50:24Z|https://bookserver.archive.org/acquire/drawingmadeeasyh00lutz.pdf|https://bookserver.archive.org/acquire/drawingmadeeasyh00lutz.epub|1|en|
archive_dot_org_books.xml|The discovery of witches : a study of Master Matthew Hopkins, commonly call'd Witch finder generall|Summers, Montague, 1880-1948|1928-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:b31350586|2019-06-13T13:54:01Z|https://bookserver.archive.org/acquire/b31350586.pdf|https://bookserver.archive.org/acquire/b31350586.epub|4|en|
archive_dot_org_books.xml|Glödande kol och andra noveller|London, Jack, 1876-1916|1920-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:glodandekolocha00lond|2009-01-07T19:54:28Z|https://bookserver.archive.org/acquire/glodandekolocha00lond.pdf|https://bookserver.archive.org/acquire/glodandekolocha00lond.epub|0|sv|
